bolo,italia,"farinha,açúcar,ovos,leite,fermento,sal","misturar os ingredientes secos, adicionar os líquidos, bater bem, assar em forno pré-aquecido a 180°C por 30-35 minutos",True
pão,frança,"farinha,água,sal,fermento","misturar os ingredientes, deixar a massa descansar, modelar pães, assar em forno pré-aquecido a 200°C por 20-25 minutos",False
sopa,portugal,"batata,cenoura,cebola,alho,azeite,sal","cozinhar os ingredientes, bater no liquidificador até obter um creme homogêneo, servir quente",False
pizza,itália,"farinha,fermento,água,sal,molho de tomate,queijo,orégano","preparar a massa, espalhar molho de tomate, adicionar queijo e orégano, assar em forno pré-aquecido a 220°C por 15-20 minutos",False
feijoada,brasil,"feijão preto,carne de porco,linguiça,cebola,alho,sal","cozinhar o feijão, fritar as carnes, juntar tudo e cozinhar até ficar macio, servir com arroz",False
taco,méxico,"tortilla,carnes temperadas,alface,tomate,queijo","preparar a carne, rechear a tortilla com carne, alface, tomate e queijo, servir",False
sushi,japão,"arroz,alga,peixe cru,vinagre de arroz,wasabi","preparar o arroz, montar os rolinhos com alga e peixe, cortar em pedaços, servir com wasabi",False
hambúrguer,eua,"carne moída,pão de hambúrguer,alface,tomate,queijo,ketchup","grelhar a carne, montar o hambúrguer com os ingredientes, servir",False
paella,espanha,"arroz,camarão,frango,pimentão,ervilha,caldo de peixe","cozinhar o arroz com o caldo, adicionar os demais ingredientes, cozinhar até ficar pronto, servir",False
curry,índia,"frango,leite de coco,curry,cebola,alho,gengibre","fritar os temperos, adicionar o frango e cozinhar, adicionar leite de coco e cozinhar até ficar pronto, servir com arroz",False
